技能名称,来源,主方向,子域,角色,建议动作,具体建议,发布状态,能力概述（上游/项目原文节选）,流程结构（标题/步骤节选）,相互提及候选（非硬依赖）,相对资源引用,静态风险关键词（不代表已执行）,SKILL行数,依据
academic-pipeline,Academic / ARS,A 研究规划与设计,完整科研计划（显式模式）,任务编排/专用合同,归并入口，保留严格模式,放入研究规划的完整项目模式；保留逐阶段确认与原始恢复语义，不强加给局部任务。,分发·独立授权ARS,"Orchestrator for the full academic research pipeline: research -> write -> integrity check -> review -> revise -> re-review -> re-revise -> final integrity check -> finalize. Coordinates deep-research, academic-paper, and academic-paper-reviewer into a seamless 10-stage workflow with mandatory, coverage-bounded integrity checks, two-stage peer review, and auditable quality-assurance artifacts. Triggers on: academic pipeline, research to paper, full paper workflow, paper pipeline, end-to-end pape","1. **Mandatory user confirmation checkpoints** — Each stage completion requires user confirmation before proceeding to the next step → 2. **Academic integrity checks** — After paper completion and before review submission, run the declared reference, registered-claim, and reported-data checks; expose denominators, sampling, unknown states, and blocking verdicts → 3. **Two-stage review** — First full review + post-revision focused verification review → 4. **Final integrity check** — After revision completion, rerun the final-check contract from fresh inputs; `100%` applies only where the named registered population is explicitly complete → 5. **Auditable** — Version, hash, and retain workflow artifacts; deterministic checks are replayable, while generative outputs are not promised byte-identical → 6. **Process documentation** — Stage 6 generates a ""Paper Creation Process Record"" PDF documenting the human-AI collaboration history (delivered before the terminal acknowledgement that completes the pipeline)","deep-research, academic-paper, academic-paper-reviewer",references/passport_as_reset_boundary.md,"rm -, parallel",738,https://github.com/Imbad0202/academic-research-skills/blob/3c546bc08c56f79e0068f1ea4f0acedf5bf69b5e/academic-pipeline/SKILL.md
consciousness-council,Scientific,A 研究规划与设计,探索性推演（非核心）,任务编排/专用合同,收进探索性能力，不自动启用,多视角讨论不是独立证据或真实多主体证明，不能取代科学审稿。,分发,"Run a multi-perspective Mind Council deliberation on any question, decision, or creative challenge. Use this skill whenever the user wants diverse viewpoints, needs help making a tough decision, asks for a council/panel/board discussion, wants to explore a problem from multiple angles, requests devil's advocate analysis, or says things like ""what would different experts think about this"", ""help me think through this from all sides"", ""council mode"", ""mind council"", or ""deliberate on this"". Also t",### Phase 1 — Summon the Council → ### Phase 2 — Deliberation → ### Phase 3 — Synthesis,,,,151,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/consciousness-council/SKILL.md
dhdna-profiler,Scientific,A 研究规划与设计,探索性推演（非核心）,任务编排/专用合同,收进探索性能力，不自动启用,文本认知风格探索不视为经验证的人格/临床测量，不用于高风险人员评判。,分发,"Extract cognitive patterns and thinking fingerprints from any text. Use this skill when the user wants to analyze how someone thinks, understand cognitive style, profile writing or speech patterns, compare thinking styles between people, asks ""what's my thinking style"", ""analyze how this person reasons"", ""cognitive profile"", ""thinking pattern"", ""DHDNA"", ""digital DNA"", or wants to understand the mind behind any text. Also trigger when the user provides text and wants deeper insight into the autho","### Phase 1 — Evidence Collection → ### Phase 2 — Scoring → 1. Score 1-10 based on evidence → 2. Cite the strongest textual evidence for that score → 3. Flag confidence level: HIGH (multiple clear signals), MEDIUM (some signals), LOW (inferred) → ### Phase 3 — Pattern Synthesis",,,clinical,184,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/dhdna-profiler/SKILL.md
what-if-oracle,Scientific,A 研究规划与设计,探索性推演（非核心）,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Run structured What-If scenario analysis with 4–6 branch possibility exploration (best, likely, worst, wild card, contrarian, second-order). Use when the user asks speculative what-if questions about uncertain futures, strategic forks, contingency planning, or stress-testing a decision before committing.",### Phase 1 — Frame the Question → ### Phase 2 — Map the Possibility Space → ### Phase 3 — Analyze Each Branch → ### Phase 4 — Synthesis,,references/scenario-templates.md,,184,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/what-if-oracle/SKILL.md
analytical-method-validation,Scientific,A 研究规划与设计,方法验证与合规准备,专业模块/适配后端,归并规划入口，保留方法分支,按问题、设计与机构要求选方法；不消除原来的证据边界、有效性检查或必要确认。,分发,"Plan, execute, and document validation, verification, and transfer of analytical procedures under the governing framework - ICH Q2(R2) and Q14, USP <1220>/<1225>/<1226>, ICH M10 bioanalytical, CLSI EP, or ISO/IEC 17025. Use for HPLC, LC-MS/MS, GC, CE, ICP-MS, dissolution, qNMR, qPCR, NIR, and ligand binding or cell-based assays whenever the question is whether a procedure is fit for its intended purpose. Triggers include ""method validation"", ""analytical method validation"", ""AMV"", ""validation pro","1. Validating against ICH Q2(R1)'s structure three years after Q2(R2) replaced it. → 2. Acceptance criteria written after the data were seen. → 3. r² presented as evidence of linearity. → 4. Repeatability reported as the procedure's precision, with the between-day component invisible. → 5. One DL/QL number with no named approach and no confirmation. → 6. Chromatographic M10 criteria applied to a ligand binding assay, or the reverse.",,,clinical,316,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/analytical-method-validation/SKILL.md
iso-standards-readiness,Scientific,A 研究规划与设计,方法验证与合规准备,专业模块/适配后端,归并规划入口，保留方法分支,按问题、设计与机构要求选方法；不消除原来的证据边界、有效性检查或必要确认。,分发,"Prepares and structurally reviews readiness evidence for ISO management-system and laboratory-competence standards - ISO 13485 medical device QMS, ISO 14971 device risk management, ISO/IEC 17025 testing and calibration laboratories, and ISO 15189 medical laboratories. Use when organizing declared scope, controlled documents, risk-management files, scope of accreditation, traceability, CAPA, external-provider controls, or bounded local evidence manifests, and when separating ISO certification fro","### Step 1: Declare the standard, purpose, and authorized owners → ### Step 2: Freeze source/version evidence → ### Step 3: Inventory controlled documents and records → ### Step 4: Review process implementation → ### Step 5: Run the focused checks that apply to the lane → ### Step 6: Address lane-specific regulator evidence separately",,,credentials,369,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/iso-standards-readiness/SKILL.md
experimental-design,Scientific,A 研究规划与设计,选题、假设与实验设计,专业模块/适配后端,归并规划入口，保留方法分支,按问题、设计与机构要求选方法；不消除原来的证据边界、有效性检查或必要确认。,分发,"Design experiments and studies BEFORE data is collected — choosing a design, randomizing, blocking, and laying out treatment combinations so results are interpretable. Use whenever someone is planning a study, asks how to assign subjects/samples to groups, mentions randomization, blocking, stratification, controls, factorial or fractional-factorial designs, design of experiments (DOE), screening many factors, response-surface optimization, crossover or repeated-measures or split-plot designs, cl","1. **Pseudoreplication.** Treating repeated measurements of one unit as independent → 2. **Confounding by a nuisance variable.** Running all treatment samples on Monday → 3. **No or broken randomization.** Convenience assignment (first-come → treatment) → 4. **No proper control.** Without a concurrent control (and, where relevant, a → 5. **Batch effects mistaken for biology.** In omics especially, process samples in a → 6. **Edge/position effects on plates.** Evaporation and thermal gradients make plate","statistical-power, statistical-analysis, statsmodels, pymc",,"pip install, uv pip",251,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/experimental-design/SKILL.md
hypothesis-generation,Scientific,A 研究规划与设计,选题、假设与实验设计,专业模块/适配后端,归并规划入口，保留方法分支,按问题、设计与机构要求选方法；不消除原来的证据边界、有效性检查或必要确认。,分发,"Formulate evidence-bounded scientific questions, candidate hypotheses, rival explanations, causal or associational claims, discriminating predictions, measurements, and preregistration-ready analysis plans. Use when turning observations or preliminary findings into transparent, testable research plans without treating hypotheses as facts.","1. Confirm authorization and the applicable institutional, funder, publisher, data-use, privacy, and AI policies. → 2. Keep the material local unless an authorized human explicitly approves a named external destination and data scope. → 3. Minimize inputs. Do not place sensitive or unpublished data in web searches or external AI systems without authorization. → 4. Stop at the appropriate human, animal, biosafety, dual-use, data-governance, or regulatory gate. → 1. State conditions and boundary conditions. → 2. Name the observable and measurement.",,,"patient, clinical, credentials",281,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/hypothesis-generation/SKILL.md
scientific-brainstorming,Scientific,A 研究规划与设计,选题、假设与实验设计,专业模块/适配后端,归并规划入口，保留方法分支,按问题、设计与机构要求选方法；不消除原来的证据边界、有效性检查或必要确认。,分发,"Facilitates evidence-aware scientific ideation with independent generation, structured discussion, explicit assumptions, transparent evaluation, adversarial review, and decision logs. Use for early-stage research brainstorming or prioritizing candidate directions; hand off empirical validation, study design, ethics or regulatory review, and clinical questions to appropriate experts or skills.","1. Label claims as **idea**, **assumption**, **prediction**, **located → 2. Generate independently before exposing participants to other people's or → 3. Preserve minority views, negative evidence, uncertainty, and abstentions. → 4. Record provenance without exposing confidential, personal, controlled, or → 5. Define evaluation criteria and directions before scoring. Keep raw ratings, → 6. Search the literature **after an initial independent round** when practical,","hypothesis-generation, experimental-design, statistical-power, literature-review, statistical-analysis",,"upload, patient, clinical, parallel, credentials",299,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/scientific-brainstorming/SKILL.md
statistical-power,Scientific,A 研究规划与设计,选题、假设与实验设计,任务编排/专用合同,保留设计子模块,样本量/效能属于采样前的设计问题，不用观测后的显著性替代。,分发,"Sample-size and statistical power calculations for planning studies. Use whenever someone asks ""how many subjects/samples/replicates do I need"", wants an a priori power analysis, a minimum detectable effect (MDE), a power curve, or needs to justify a sample size for a grant, IRB protocol, or pre-registration. Covers closed-form power for t-tests, ANOVA, proportions, correlations, chi-square, and regression, plus simulation-based (Monte Carlo) power for designs with no formula — logistic/Poisson ","1. A **minimally important effect** — the smallest effect that would actually change a decision or matter scientifically/clinically (the ""smallest effect size of interest"", SESOI). This is the most defensible basis: you power to detect what matters, not what you hope to see. → 2. A **pilot or prior-study estimate**, but shrink it — published and pilot effects are inflated by publication bias and the winner's curse. Powering on a raw pilot estimate routinely underpowers the real study. → 3. A **convention** (Cohen's small/medium/large) only as a last resort, and say so explicitly. → 1. **Simulate** a dataset from your assumed truth (the effect you want to detect, plus realistic noise, baseline rates, cluster structure, etc.). → 2. **Analyze** it with the *exact* test/model you plan to use on the real data. → 3. **Repeat** many times (≥1,000; 5,000–10,000 for a stable estimate near 80%). Power is the fraction of replicates in which the test is significant.","statsmodels, matplotlib, experimental-design, statistical-analysis, pymc",,"pip install, uv pip, patient, clinical",217,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/statistical-power/SKILL.md
